speciesNameE,ScientificName
Alewife, Alosa pseudoharehgus  
American brook lamprey, Lampetra appendix    
American eel, Anguilla rostrata      
American shad, Alosa sapidissima  
Banded killifish, Fundulus diaphanous        
Black bullhead, Ictarus melas   Black crappie Pomoxis nigromaculatus        
Blackchin shiner, Notropis heterodon                
Blacknose dace, Rhinichthys atratulus  
Blacknose shiner, Notropis hererolepis        
Bluegill, Lepomus macrochirus        
Bluntnose shiner, Pimephales notatus              
Brassy minnow, Hybognathus hankinsoni    
Brook silverside, Labidesthes sicculus  
Brook stickleback, Culea inconstans            
Brook trout, Salvelinus fontinalis  
Brown bullhead, Ictalurus nebulosus              
Brown trout, Salmo trutta     Burbot Lota lota                
Central mudminnow, Umbra limi      
Channel catfish, Ictalurus punctatus              
Channel darter, Percina copelandi  
Common carp, Cyprinus carpio        
Common shiner, Notropis comutus        
Creek chub, Semotilus atromaculatus            
Cutlips minnow, Exoglossum maxillingua  
Eastern silvery minnow, Hybognathus regius    
Emerald shiner, Notropis atherinoides                  
Fallfish, Semotilus corporalis                
Fantail darter, Etheostoma flabellare  
Fathead minnow, Pimephales promelas            
Finescale dace, Phoxinus neogaeus      
Freshwater drum, Aplodinotus grunniens        
Golden shiner, Notemigonus crysoleucas              
Goldeye, Hiodon alosoides    
Greater redhorse, Moxostoma valenciennesi    
Iowa darter, Etheostoma exile          
Johnny darter, Etheostoma nigrum                  
Lake chub, Couesius plumbeus    
Lake herring, Coregonus artedii          
Lake sturgeon, Acipenser fulvescens              
Lake trout, Salvelinus namaycush  
Lake whitefish, Coregonus clupeaformis          
Largemouth bass, Micropterus salmoides              
Logperch, Percina caprodes                
Longear sunfish, Lepomis magalotis  
Longnose dace, Rhinichthys cataractae        
Longnose gar Lepisosteus osseus                
Longnose sucker, Catostomus catostomus            
Marignated madtom, Noturus insignis  
Mimic shiner, Notrpos volucellus        
Mooneye, Hiodon tergisus                
Mottled sculpin, Cottus bairdi      
Muskellunge, Esox masquinongy        
Ninespice stickleback, Pungitius pungitius      
Northern brook lamprey, Ichthymyzon fossor  
Northern pike, Esox lucius                  
Northern redbelly dace, Phoxinus eos          
Pearl dace, Semotilus margarita              
Pumpkinseed ,Lepomis gibbosus            
Quillback, Carpoides cyprinus
Rainbow smelt, Osmerus mordax    
Rainbow trout, Salmo gairgneri
River redhorse, Moxostoma carinatum            
Rock bass, Ambloplites rupestris                  
Rosyface shiner, Notropis rubellus                
Sand shiner, Notropis stramineus      
Sauger, Stizostedion canadense                
Shorthead redhorse, Moxostoma macrolepidotum                
Silver lamprey, Icthymyzon unicuspis    
Silver redhorse, Moxostoma anisurum                
Slimy sculpin, Cottus cognatus          
Smallmouth bass, Micropterus dolomieui                  
Spotfin shiner, Notropis spilopterus
Spottail shiner, Notropis hudsonius              
Stonecat, Noturus flavus
Tadpole madtom, Noturus gyrinus
Tessellated darter, Etheostoma olmstedi    
Threespine stickleback, Gasterosteus aculeatus    
Trout-perch, Percopsis omiscomaycus
Walleye, Stizostedin vitreum                  
White crappie, Pomoxis annularis
White sucker, Catostomus commersoni                  
Yellow bullhead, Ictalurus natalis            
Yellow perch, Perca flav}